"taxa","family","genus","lme","rank","survey"
"Ctenolabrus rupestris","Labridae","Ctenolabrus","23","Species","NS-IBTS"
"Hyperoplus lanceolatus","Ammodytidae","Hyperoplus","23","Species","NS-IBTS"
"Solea solea","Soleidae","Solea","23","Species","NS-IBTS"
"Eutrigla gurnardus","Triglidae","Eutrigla","23","Species","NS-IBTS"
"Scophthalmus rhombus","Scophthalmidae","Scophthalmus","23","Species","NS-IBTS"
"Arnoglossus laterna","Bothidae","Arnoglossus","23","Species","NS-IBTS"
"Enchelyopus cimbrius","Lotidae","Enchelyopus","23","Species","NS-IBTS"
"Gobius","Gobiidae","Gobius","23","Genus","NS-IBTS"
"Syngnathus","Syngnathidae","Syngnathus","23","Genus","NS-IBTS"
"Entelurus aequoreus","Syngnathidae","Entelurus","23","Species","NS-IBTS"
"Symphodus melops","Labridae","Symphodus","23","Species","NS-IBTS"
"Cottunculus microps","Psychrolutidae","Cottunculus","22","Species","NS-IBTS"
"Echiichthys vipera","Trachinidae","Echiichthys","24","Species","NS-IBTS"
"Callionymus lyra","Callionymidae","Callionymus","24","Species","NS-IBTS"
"Scomber scombrus","Scombridae","Scomber","24","Species","NS-IBTS"
"Chelidonichthys lucerna","Triglidae","Chelidonichthys","24","Species","NS-IBTS"
"Sardina pilchardus","Clupeidae","Sardina","24","Species","NS-IBTS"
"Solea solea","Soleidae","Solea","24","Species","NS-IBTS"
"Scyliorhinus canicula","Scyliorhinidae","Scyliorhinus","24","Species","NS-IBTS"
"Mullus surmuletus","Mullidae","Mullus","24","Species","NS-IBTS"
"Trachurus trachurus","Carangidae","Trachurus","24","Species","NS-IBTS"
"Hyperoplus lanceolatus","Ammodytidae","Hyperoplus","24","Species","NS-IBTS"
"Trisopterus minutus","Gadidae","Trisopterus","24","Species","NS-IBTS"
"Gobiidae","Gobiidae",NA,"24","Family","NS-IBTS"
"Trisopterus minutus","Gadidae","Trisopterus","23","Species","NS-IBTS"
"Aphia minuta","Gobiidae","Aphia","23","Species","NS-IBTS"
"Centrolabrus exoletus","Labridae","Centrolabrus","22","Species","NS-IBTS"
"Myoxocephalus scorpius","Cottidae","Myoxocephalus","24","Species","NS-IBTS"
"Buglossidium luteum","Soleidae","Buglossidium","24","Species","NS-IBTS"
"Mustelus","Triakidae","Mustelus","24","Genus","NS-IBTS"
"Arnoglossus laterna","Bothidae","Arnoglossus","24","Species","NS-IBTS"
"Ciliata","Lotidae","Ciliata","24","Genus","NS-IBTS"
"Engraulis encrasicolus","Engraulidae","Engraulis","24","Species","NS-IBTS"
"Eutrigla gurnardus","Triglidae","Eutrigla","24","Species","NS-IBTS"
"Trachinus draco","Trachinidae","Trachinus","24","Species","NS-IBTS"
"Chelidonichthys cuculus","Triglidae","Chelidonichthys","24","Species","NS-IBTS"
"Trisopterus luscus","Gadidae","Trisopterus","24","Species","NS-IBTS"
"Ammodytes tobianus","Ammodytidae","Ammodytes","24","Species","NS-IBTS"
"Raja microocellata","Rajidae","Raja","24","Species","NS-IBTS"
"Spondyliosoma cantharus","Sparidae","Spondyliosoma","24","Species","NS-IBTS"
"Liparis","Liparidae","Liparis","24","Genus","NS-IBTS"
"Raja montagui","Rajidae","Raja","24","Species","NS-IBTS"
"Microchirus variegatus","Soleidae","Microchirus","24","Species","NS-IBTS"
"Raja","Rajidae","Raja","24","Genus","NS-IBTS"
"Syngnathus","Syngnathidae","Syngnathus","24","Genus","NS-IBTS"
"Scophthalmus maximus","Scophthalmidae","Scophthalmus","24","Species","NS-IBTS"
"Ctenolabrus rupestris","Labridae","Ctenolabrus","24","Species","NS-IBTS"
"Gaidropsarus argentatus","Lotidae","Gaidropsarus","22","Species","NS-IBTS"
"Sarpa salpa","Sparidae","Sarpa","22","Species","NS-IBTS"
"Trachinus draco","Trachinidae","Trachinus","23","Species","NS-IBTS"
"Lumpenus lampretaeformis","Stichaeidae","Lumpenus","23","Species","NS-IBTS"
"Triglops","Cottidae","Triglops","22","Genus","NS-IBTS"
"Pollachius virens","Gadidae","Pollachius","23","Species","NS-IBTS"
"Clupeidae","Clupeidae",NA,"22","Family","NS-IBTS"
"Buenia jeffreysii","Gobiidae","Buenia","22","Species","NS-IBTS"
"Myoxocephalus scorpius","Cottidae","Myoxocephalus","23","Species","NS-IBTS"
"Pomatoschistus","Gobiidae","Pomatoschistus","23","Genus","NS-IBTS"
"Macroramphosus scolopax","Centriscidae","Macroramphosus","22","Species","NS-IBTS"
"Pterycombus brama","Bramidae","Pterycombus","22","Species","NS-IBTS"
"Buglossidium luteum","Soleidae","Buglossidium","23","Species","NS-IBTS"
"Salmo salar","Salmonidae","Salmo","23","Species","NS-IBTS"
"Salmo trutta trutta","Salmonidae","Salmo","23","Subspecies","NS-IBTS"
"Lophius piscatorius","Lophiidae","Lophius","24","Species","NS-IBTS"
"Zeus faber","Zeidae","Zeus","24","Species","NS-IBTS"
"Pollachius pollachius","Gadidae","Pollachius","24","Species","NS-IBTS"
"Conger conger","Congridae","Conger","24","Species","NS-IBTS"
"Syngnathidae","Syngnathidae",NA,"23","Family","NS-IBTS"
"Gobius","Gobiidae","Gobius","24","Genus","NS-IBTS"
"Chelidonichthys lastoviza","Triglidae","Chelidonichthys","24","Species","NS-IBTS"
"Chelon labrosus","Mugilidae","Chelon","23","Species","NS-IBTS"
"Icelus bicornis","Cottidae","Icelus","22","Species","NS-IBTS"
"Ammodytes","Ammodytidae","Ammodytes","24","Genus","NS-IBTS"
"Petromyzon marinus","Petromyzontidae","Petromyzon","24","Species","NS-IBTS"
"Callionymus","Callionymidae","Callionymus","24","Genus","NS-IBTS"
"Pomatoschistus norvegicus","Gobiidae","Pomatoschistus","22","Species","NS-IBTS"
"Chirolophis ascanii","Stichaeidae","Chirolophis","22","Species","NS-IBTS"
"Coelorinchus caelorhincus","Macrouridae","Coelorinchus","22","Species","NS-IBTS"
"Pomatoschistus","Gobiidae","Pomatoschistus","24","Genus","NS-IBTS"
"Enchelyopus cimbrius","Lotidae","Enchelyopus","24","Species","NS-IBTS"
"Raja brachyura","Rajidae","Raja","24","Species","NS-IBTS"
"Anguilla anguilla","Anguillidae","Anguilla","24","Species","NS-IBTS"
"Lamna nasus","Lamnidae","Lamna","22","Species","NS-IBTS"
"Labrus mixtus","Labridae","Labrus","22","Species","NS-IBTS"
"Nerophis lumbriciformis","Syngnathidae","Nerophis","22","Species","NS-IBTS"
"Atherina presbyter","Atherinidae","Atherina","24","Species","NS-IBTS"
"Blennius ocellaris","Blenniidae","Blennius","24","Species","NS-IBTS"
"Lepadogaster lepadogaster","Gobiesocidae","Lepadogaster","22","Species","NS-IBTS"
"Sarda sarda","Scombridae","Sarda","22","Species","NS-IBTS"
"Polyprion americanus","Polyprionidae","Polyprion","22","Species","NS-IBTS"
"Rajella fyllae","Rajidae","Rajella","22","Species","NS-IBTS"
"Atherina","Atherinidae","Atherina","22","Genus","NS-IBTS"
"Rajella lintea","Rajidae","Dipturus","22","Species","NS-IBTS"
"Liparidae","Liparidae",NA,"22","Family","NS-IBTS"
"Acipenser sturio","Acipenseridae","Acipenser","22","Species","NS-IBTS"
"Clupea harengus","Clupeidae","Clupea","23","Species","BITS"
"Platichthys flesus","Pleuronectidae","Platichthys","23","Species","BITS"
"Gadus morhua","Gadidae","Gadus","23","Species","BITS"
"Sprattus sprattus","Clupeidae","Sprattus","23","Species","BITS"
"Limanda limanda","Pleuronectidae","Limanda","23","Species","BITS"
"Pleuronectes platessa","Pleuronectidae","Pleuronectes","23","Species","BITS"
"Scophthalmus maximus","Scophthalmidae","Scophthalmus","23","Species","BITS"
"Lumpenus lampretaeformis","Stichaeidae","Lumpenus","23","Species","BITS"
"Merlangius merlangus","Gadidae","Merlangius","23","Species","BITS"
"Enchelyopus cimbrius","Lotidae","Enchelyopus","23","Species","BITS"
"Pleuronectes platessa","Pleuronectidae","Pleuronectes","22","Species","BITS"
"Callionymus","Callionymidae","Callionymus","22","Genus","BITS"
"Eutrigla gurnardus","Triglidae","Eutrigla","22","Species","BITS"
"Glyptocephalus cynoglossus","Pleuronectidae","Glyptocephalus","22","Species","BITS"
"Merluccius merluccius","Merlucciidae","Merluccius","22","Species","BITS"
"Syngnathus","Syngnathidae","Syngnathus","22","Genus","BITS"
"Clupea harengus","Clupeidae","Clupea","22","Species","BITS"
"Sprattus sprattus","Clupeidae","Sprattus","22","Species","BITS"
"Trisopterus esmarkii","Gadidae","Trisopterus","22","Species","BITS"
"Platichthys flesus","Pleuronectidae","Platichthys","22","Species","BITS"
"Merlangius merlangus","Gadidae","Merlangius","22","Species","BITS"
"Gadus morhua","Gadidae","Gadus","22","Species","BITS"
"Melanogrammus aeglefinus","Gadidae","Melanogrammus","22","Species","BITS"
"Microstomus kitt","Pleuronectidae","Microstomus","22","Species","BITS"
"Hippoglossoides platessoides","Pleuronectidae","Hippoglossoides","22","Species","BITS"
