"taxa","family","genus","rank"
"Lipophrys pholis","Blenniidae","Lipophrys","Species"
"Gobius","Gobiidae","Neogobius","Genus"
"Regalecus glesne","Regalecidae","Regalecus","Species"
"Acantholabrus palloni","Labridae","Acantholabrus","Species"
"Neogobius","Gobiidae","Neogobius","Genus"
"Pomatoschistus flavescens","Gobiidae","Gobiusculus","Species"
"Caranx rhonchus","Carangidae","Caranx","Species"
"Boops boops","Sparidae","Boops","Species"
"Trachurus mediterraneus","Carangidae","Trachurus","Species"
"Cepola macrophthalma","Cepolidae","Cepola","Species"
"Chelidonichthys obscurus","Triglidae","Chelidonichthys","Species"
"Dicologlossa cuneata","Soleidae","Dicologlossa","Species"
"Pagrus pagrus","Sparidae","Pagrus","Species"
"Torpedo marmorata","Torpedinidae","Torpedo","Species"
"Argyrosomus regius","Sciaenidae","Argyrosomus","Species"
"Lithognathus mormyrus","Sparidae","Lithognathus","Species"
"Bathysolea profundicola","Soleidae","Bathysolea","Species"
"Lepidion eques","Moridae","Lepidion","Species"
"Notoscopelus kroyeri","Myctophidae","Notoscopelus","Species"
"Trachurus picturatus","Carangidae","Trachurus","Species"
"Scorpaena loppei","Scorpaenidae","Scorpaena","Species"
"Beryx splendens","Berycidae","Beryx","Species"
"Balistes capriscus","Balistidae","Balistes","Species"
"Molva macrophthalma","Lotidae","Molva","Species"
"Tetronarce nobiliana","Torpedinidae","Tetronarce","Species"
"Arnoglossus thori","Bothidae","Arnoglossus","Species"
"Pagellus acarne","Sparidae","Pagellus","Species"
"Umbrina canariensis","Sciaenidae","Umbrina","Species"
"Serranus hepatus","Serranidae","Serranus","Species"
"Lampanyctus crocodilus","Myctophidae","Lampanyctus","Species"
"Pagellus","Sparidae","Pagellus","Genus"
"Macrourus berglax","Macrouridae","Macrourus","Species"
"Xiphias gladius","Xiphiidae","Xiphias","Species"
"Serranus cabrilla","Serranidae","Serranus","Species"
"Pagellus bogaraveo","Sparidae","Pagellus","Species"
"Dicentrarchus punctatus","Moronidae","Dicentrarchus","Species"
"Deania calceus","Centrophoridae","Deania","Species"
"Myliobatis aquila","Myliobatidae","Myliobatis","Species"
"Solea senegalensis","Soleidae","Solea","Species"
"Gaidropsarus biscayensis","Lotidae","Gaidropsarus","Species"
"Xenodermichthys copei","Alepocephalidae","Xenodermichthys","Species"
"Hexanchus griseus","Hexanchidae","Hexanchus","Species"
"Argyropelecus hemigymnus","Sternoptychidae","Argyropelecus","Species"
"Beryx decadactylus","Berycidae","Beryx","Species"
"Mora moro","Moridae","Mora","Species"
"Polymetme corythaeola","Phosichthyidae","Polymetme","Species"
