haul_id_removed
Rémy-Martin -3-21-1995-08-11 -18:26:00
Gadus Atlantica -4-129-1981-02-12 -11:00:00
Gadus Atlantica -4-130-1981-02-13 -09:10:00
Gadus Atlantica -4-131-1981-02-13 -12:12:00
Gadus Atlantica -4-132-1981-02-13 -14:20:00
Gadus Atlantica -4-133-1981-02-13 -16:05:00
Gadus Atlantica -4-134-1981-02-13 -17:30:00
Gadus Atlantica -4-135-1981-02-13 -20:27:00
Gadus Atlantica -4-136-1981-02-14 -01:25:00
Gadus Atlantica -4-137-1981-02-14 -03:00:00
Gadus Atlantica -4-138-1981-02-14 -06:15:00
Gadus Atlantica -4-140-1981-02-14 -17:41:00
Gadus Atlantica -4-141-1981-02-15 -11:10:00
Gadus Atlantica -4-142-1981-02-16 -15:46:00
Gadus Atlantica -4-143-1981-02-16 -18:25:00
Gadus Atlantica -4-144-1981-02-16 -21:00:00
Gadus Atlantica -4-145-1981-02-16 -22:45:00
Gadus Atlantica -4-146-1981-02-17 -00:06:00
Gadus Atlantica -5-2-1983-01-07 -18:35:00
Gadus Atlantica -5-3-1983-01-07 -21:57:00
Gadus Atlantica -5-4-1983-01-07 -23:50:00
Gadus Atlantica -5-5-1983-01-08 -02:14:00
Gadus Atlantica -5-6-1983-01-08 -05:08:00
Gadus Atlantica -5-7-1983-01-08 -06:50:00
Gadus Atlantica -5-8-1983-01-08 -09:55:00
Gadus Atlantica -5-9-1983-01-08 -11:55:00
Gadus Atlantica -5-10-1983-01-08 -13:36:00
Gadus Atlantica -5-11-1983-01-08 -15:26:00
Gadus Atlantica -5-12-1983-01-08 -17:47:00
Gadus Atlantica -5-13-1983-01-08 -19:47:00
Gadus Atlantica -5-14-1983-01-08 -21:22:00
Gadus Atlantica -5-15-1983-01-08 -22:35:00
Gadus Atlantica -5-16-1983-01-09 -01:06:00
Gadus Atlantica -5-17-1983-01-09 -04:21:00
Gadus Atlantica -5-18-1983-01-09 -06:56:00
Gadus Atlantica -5-19-1983-01-09 -09:40:00
Gadus Atlantica -5-20-1983-01-09 -11:45:00
Gadus Atlantica -5-21-1983-01-09 -13:00:00
Gadus Atlantica -5-22-1983-01-09 -16:11:00
Gadus Atlantica -5-23-1983-01-09 -18:50:00
Gadus Atlantica -5-24-1983-01-09 -21:10:00
Gadus Atlantica -5-25-1983-01-09 -22:20:00
Gadus Atlantica -5-26-1983-01-09 -23:50:00
Gadus Atlantica -5-27-1983-01-10 -01:50:00
Gadus Atlantica -5-28-1983-01-10 -03:30:00
Gadus Atlantica -5-29-1983-01-10 -05:20:00
Gadus Atlantica -5-30-1983-01-10 -07:25:00
Gadus Atlantica -5-31-1983-01-10 -09:15:00
Gadus Atlantica -5-32-1983-01-10 -11:06:00
Gadus Atlantica -5-33-1983-01-10 -12:57:00
Gadus Atlantica -5-34-1983-01-10 -15:35:00
Gadus Atlantica -5-35-1983-01-10 -17:15:00
Gadus Atlantica -5-36-1983-01-10 -19:45:00
Gadus Atlantica -5-37-1983-01-10 -21:50:00
Gadus Atlantica -5-38-1983-01-10 -23:53:00
Gadus Atlantica -5-39-1983-01-11 -01:56:00
Gadus Atlantica -5-40-1983-01-11 -03:55:00
Gadus Atlantica -5-41-1983-01-11 -05:03:00
Gadus Atlantica -5-42-1983-01-11 -06:12:00
Gadus Atlantica -5-43-1983-01-11 -07:42:00
Gadus Atlantica -5-44-1983-01-11 -10:06:00
Gadus Atlantica -5-45-1983-01-11 -11:32:00
Gadus Atlantica -5-46-1983-01-11 -12:48:00
Gadus Atlantica -5-47-1983-01-11 -14:09:00
Gadus Atlantica -5-48-1983-01-11 -15:32:00
Gadus Atlantica -5-49-1983-01-11 -16:48:00
Gadus Atlantica -5-50-1983-01-11 -19:05:00
Gadus Atlantica -5-51-1983-01-11 -22:50:00
Gadus Atlantica -5-52-1983-01-12 -08:11:00
Gadus Atlantica -5-53-1983-01-12 -10:44:00
